xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.051050199999735923,0.05830690000038885,0.05830690000038885,57.989389700000174,space,57.922891599999275,None,,,,,,,,,,,,,,,,,,,,,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,0,0,0,j,0,2.9312885999988794,None,0,0,0,0,0,0,0,0,58.289932300000146,,,,,,,,,,58.17318250000062,58.17328989999987,58.27953499999967,58.289932300000146,58.289932300000146,58.289932300000146,59.1724004000007,61.22289600000113,j,0,2.9312885999988794,None,right,15,[],0,shiftedgaze_R_15.png,j,0,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,1,0,1,f,0,16.781931900000927,None,0,0,0,0,1,0,1,0,61.32720440000048,,,,,,,,,,,,61.314814999999726,61.32720440000048,61.32720440000048,61.32720440000048,62.22235929999988,78.12242140000126,f,0,16.781931900000927,None,direct,15,[],0,shifteddirectgaze.png,f,0,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,2,0,2,j,0,4.812933100000009,None,0,0,0,0,2,0,2,0,78.22413030000098,,,,,,,,,,,,78.21385960000043,78.22413030000098,78.22413030000098,78.22413030000098,79.13895980000052,83.03898200000003,j,0,4.812933100000009,None,right,15,[],0,shiftedgaze_R_15.png,j,0,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,3,0,3,f,0,3.915338000000702,None,0,0,0,0,3,0,3,0,83.1377123000002,,,,,,,,,,,,83.12753490000068,83.1377123000002,83.1377123000002,83.1377123000002,84.03858589999982,87.0557514000011,f,0,3.915338000000702,None,direct,15,[],0,shifteddirectgaze.png,f,0,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,4,0,4,j,0,6.3609692999998515,None,0,0,0,0,4,0,4,0,87.15613959999973,,,,,,,,,,,,87.1446305999998,87.15613959999973,87.15613959999973,87.15613959999973,88.05534760000046,93.52234760000101,j,0,6.3609692999998515,None,right,15,[],0,shiftedgaze_R_15.png,j,0,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,5,0,5,f,1,7.763251000000309,None,0,0,0,0,5,0,5,0,93.6337953000002,,,,,,,,,,,,93.62346070000058,93.6337953000002,93.6337953000002,93.6337953000002,94.52201710000008,101.4053866000013,f,1,7.763251000000309,None,left,15,[15],1,shiftedgaze_L_15.png,f,1,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,6,0,6,j,0,8.37813030000143,None,0,0,0,0,6,0,6,0,101.51491350000106,,,,,,,,,,,,101.50515230000019,101.51491350000106,101.51491350000106,101.51491350000106,102.40506730000016,109.90529040000001,j,0,8.37813030000143,None,left,14,"[15, 14]",2,shiftedgaze_L_14.png,j,0,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,7,0,7,f,0,7.009468399999605,None,0,0,0,0,7,0,7,0,110.00370830000065,,,,,,,,,,,,109.993098500001,110.00370830000065,110.00370830000065,110.00370830000065,110.9048531999997,117.02208799999971,f,0,7.009468399999605,None,direct,15,"[15, 14]",2,shifteddirectgaze.png,f,0,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,8,0,8,j,1,7.608616499999698,None,0,0,0,0,8,0,8,0,117.12447940000129,,,,,,,,,,,,117.11266989999967,117.12447940000129,117.12447940000129,117.12447940000129,118.02143280000018,124.73843959999977,j,1,7.608616499999698,None,direct,15,"[15, 14]",2,shifteddirectgaze.png,j,1,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,9,0,9,j,0,10.90827790000003,None,0,0,0,0,9,0,9,0,124.84874839999975,,,,,,,,,,,,124.83885259999988,124.84874839999975,124.84874839999975,124.84874839999975,125.73812890000045,135.77150559999973,j,0,10.90827790000003,None,left,15,"[15, 14]",2,shiftedgaze_L_15.png,j,0,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,10,0,10,f,1,8.602559899998596,None,0,0,0,0,10,0,10,0,135.88234999999986,,,,,,,,,,,,135.8695375999996,135.88234999999986,135.88234999999986,135.88234999999986,136.7717745000009,144.48804630000086,f,1,8.602559899998596,None,right,15,"[15, 14]",2,shiftedgaze_R_15.png,f,1,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,11,0,11,f,1,12.2888968999996,None,0,0,0,0,11,0,11,0,144.58827139999994,,,,,,,,,,,,144.57781299999988,144.58827139999994,144.58827139999994,144.58827139999994,145.4877661999999,156.8881435000003,f,1,12.2888968999996,None,right,15,"[15, 14, 15]",3,shiftedgaze_R_15.png,f,1,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,12,0,12,f,1,12.207465800000136,None,0,0,0,0,12,0,12,0,156.9895634000004,,,,,,,,,,,,156.97875659999954,156.9895634000004,156.9895634000004,156.9895634000004,157.88774060000105,169.20450979999987,f,1,12.207465800000136,None,right,14,"[15, 14, 15]",3,shiftedgaze_R_14.png,f,1,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
29.1,ecc10pos,left,13,0,13,j,0,27.898143400001572,None,0,0,0,0,13,0,13,0,169.29902670000047,,,,,,,,,,,,169.28724070000135,169.29902670000047,169.29902670000047,169.29902670000047,170.2041680000002,197.20422619999954,j,0,27.898143400001572,None,left,14,"[15, 14, 15, 14]",4,shiftedgaze_L_14.png,j,0,1,pilot4,001,2026-04-02_16h28.58.862,mogelijke versie adaptive staircase builder,,2026.1.3,59.97713671594799,2026-04-02 16h28.59.060554 +0200,
