xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.05099419999987731,0.060190500000317115,0.060190500000317115,0.060190500000317115,0.060190500000317115,0.060190500000317115,853.5498151000002,space,853.3686321999994,0.1043615000007776,,,,,,,,,,,,,,,,,,,,,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
4.5,ecc10pos,left,0,0,0,j,1,4.1127873999994335,None,0,0,0,0,0,0,0,0,853.8440984999997,,,,,,,,,,,,,853.7314898000004,853.7315451000004,853.8333942999998,853.8440984999997,853.8440984999997,853.8440984999997,854.7326713000002,857.9664622999999,j,1,4.1127873999994335,None,direct,20,[],0,shifteddirectgaze.png,j,1,1,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
4.5,ecc10pos,left,1,0,1,j,0,3.1477656999995816,None,0,0,0,0,1,0,1,0,858.0730740999998,,,,,,,,,,,,,,,858.0629429,858.0730740999998,858.0730740999998,858.0730740999998,858.9659007,861.2328312,j,0,3.1477656999995816,None,right,19,[19],1,shiftedgaze_R_19.png,j,0,1,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
4.5,ecc10pos,left,2,0,2,j,0,4.544709400000102,None,0,0,0,0,2,0,2,0,861.3561388999997,,,,,,,,,,,,,,,861.3436862999997,861.3561388999997,861.3561388999997,861.3561388999997,862.2324838000004,865.9164413999997,j,0,4.544709400000102,None,left,20,[19],1,shiftedgaze_L_20.png,j,0,1,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
4.5,ecc10pos,left,3,0,3,j,0,3.5629998999993404,None,0,0,0,0,3,0,3,0,866.0338323000005,,,,,,,,,,,,,,,866.0222320000003,866.0338323000005,866.0338323000005,866.0338323000005,866.9161051000001,869.5996725000005,j,0,3.5629998999993404,None,right,20,[19],1,shiftedgaze_R_20.png,j,0,1,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
4.5,ecc10pos,left,4,0,4,f,1,3.5478861999999936,None,0,0,0,0,4,0,4,0,869.6969429000001,,,,,,,,,,,,,,,869.6858689999999,869.6969429000001,869.6969429000001,869.6969429000001,870.5991470999998,873.2494513000001,f,1,3.5478861999999936,None,right,20,"[19, 20]",2,shiftedgaze_R_20.png,f,1,1,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
4.5,ecc10pos,left,5,0,5,f,0,3.2425842000002376,None,0,0,0,0,5,0,5,0,873.3471808000004,,,,,,,,,,,,,,,873.3359267000005,873.3471808000004,873.3471808000004,873.3471808000004,874.2494237999999,876.5995499,f,0,3.2425842000002376,None,direct,19,"[19, 20, 19]",3,shifteddirectgaze.png,f,0,1,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
4.5,ecc10pos,left,6,0,6,j,0,5.497491499999342,None,0,0,0,0,6,0,6,0,876.7232949999998,,,,,,,,,,,,,,,876.7117418999997,876.7232949999998,876.7232949999998,876.7232949999998,877.5992633000005,882.2325220000002,j,0,5.497491499999342,None,left,20,"[19, 20, 19]",3,shiftedgaze_L_20.png,j,0,1,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
4.5,ecc10pos,left,7,0,7,j,0,4.559351300000344,None,0,0,0,0,7,0,7,0,882.3494277,,,,,,,,,,,,,,,882.3380378000002,882.3494277,882.3494277,882.3494277,883.2322750000003,886.9160469999997,j,0,4.559351300000344,None,right,20,"[19, 20, 19]",3,shiftedgaze_R_20.png,j,0,1,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
4.5,ecc10pos,left,8,0,8,j,0,3.7270332999996754,None,0,0,0,0,8,0,8,0,887.0137384999998,,,,,,,,,,,,,,,887.0028399000003,887.0137384999998,887.0137384999998,887.0137384999998,887.9156061000003,890.7491571999999,j,0,3.7270332999996754,None,right,20,"[19, 20, 19]",3,shiftedgaze_R_20.png,j,0,1,results25,001,2026-04-20_11h20.04.181,mogelijke versie adaptive staircase builder,,2026.1.3,60.02494636746445,2026-04-20 11h20.04.583667 +0200,
