xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.05436059999965437,0.06585119999999733,0.06585119999999733,0.06585119999999733,0.06585119999999733,0.06585119999999733,315.9661827,space,315.7249619999998,0.16812669999990248,,,,,,,,,,,,,,,,,,,,,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
4.5,ecc10pos,left,0,0,0,f,1,2.5311401999997543,None,0,0,0,0,0,0,0,0,316.30798579999964,,,,,,,,,,,,,316.19432959999995,316.1943922999999,316.2969097,316.30798579999964,316.30798579999964,316.30798579999964,317.19904759999963,318.84945629999993,f,1,2.5311401999997543,None,right,20,[],0,shiftedgaze_R_20.png,f,1,1,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
4.5,ecc10pos,left,1,0,1,j,0,3.565557699999772,None,0,0,0,0,1,0,1,0,318.9772273999997,,,,,,,,,,,,,,,318.9654416999997,318.9772273999997,318.9772273999997,318.9772273999997,319.8656354999998,322.5491772999999,j,0,3.565557699999772,None,left,19,[19],1,shiftedgaze_L_19.png,j,0,1,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
4.5,ecc10pos,left,2,0,2,f,1,2.370893799999976,None,0,0,0,0,2,0,2,0,322.6600983999997,,,,,,,,,,,,,,,322.6487119999997,322.6600983999997,322.6600983999997,322.6600983999997,323.5488028,325.0325380999998,f,1,2.370893799999976,None,right,20,"[19, 20]",2,shiftedgaze_R_20.png,f,1,1,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
4.5,ecc10pos,left,3,0,3,f,1,3.599931799999922,None,0,0,0,0,3,0,3,0,325.1428544999999,,,,,,,,,,,,,,,325.1326213999996,325.1428544999999,325.1428544999999,325.1428544999999,326.0322406999999,328.74928709999995,f,1,3.599931799999922,None,right,19,"[19, 20]",2,shiftedgaze_R_19.png,f,1,1,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
4.5,ecc10pos,left,4,0,4,j,0,2.5295687000002545,None,0,0,0,0,4,0,4,0,328.8611931999999,,,,,,,,,,,,,,,328.8508827999999,328.8611931999999,328.8611931999999,328.8611931999999,329.74871630000007,331.3989924000002,j,0,2.5295687000002545,None,right,18,"[19, 20, 18]",3,shiftedgaze_R_18.png,j,0,1,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
4.5,ecc10pos,left,5,0,5,f,1,3.1808522000001176,None,0,0,0,0,5,0,5,0,331.5139035999996,,,,,,,,,,,,,,,331.50248169999986,331.5139035999996,331.5139035999996,331.5139035999996,332.39887059999955,334.69913979999956,f,1,3.1808522000001176,None,left,19,"[19, 20, 18, 19]",4,shiftedgaze_L_19.png,f,1,1,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
4.5,ecc10pos,left,6,0,6,j,0,3.026225799999338,None,0,0,0,0,6,0,6,0,334.80465630000026,,,,,,,,,,,,,,,334.7928154999995,334.80465630000026,334.80465630000026,334.80465630000026,335.6988609999994,337.8327721999999,j,0,3.026225799999338,None,left,18,"[19, 20, 18, 19, 18]",5,shiftedgaze_L_18.png,j,0,1,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
4.5,ecc10pos,left,7,0,7,j,0,2.783752999999706,None,0,0,0,0,7,0,7,0,337.9430299999999,,,,,,,,,,,,,,,337.93198129999973,337.9430299999999,337.9430299999999,337.9430299999999,338.83203679999997,340.73238749999973,j,0,2.783752999999706,None,right,19,"[19, 20, 18, 19, 18]",5,shiftedgaze_R_19.png,j,0,1,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
4.5,ecc10pos,left,8,0,8,f,1,1.8221894999996948,None,0,0,0,0,8,0,8,0,340.83348929999966,,,,,,,,,,,,,,,340.82343399999945,340.83348929999966,340.83348929999966,340.83348929999966,341.7318454000001,342.6655335999999,f,1,1.8221894999996948,None,right,20,"[19, 20, 18, 19, 18, 20]",6,shiftedgaze_R_20.png,f,1,1,results2,001,2026-04-13_11h00.41.288,mogelijke versie adaptive staircase builder,,2026.1.3,60.04159681829083,2026-04-13 11h00.41.628183 +0200,
