xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.05133639999985462,0.0609679999997752,0.0609679999997752,0.0609679999997752,0.0609679999997752,0.0609679999997752,2067.6033747,space,2067.373706300001,0.15209169999980077,,,,,,,,,,,,,,,,,,,,,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
4.5,ecc10pos,left,0,0,0,j,1,5.945383100000981,None,0,0,0,0,0,0,0,0,2067.961215899999,,,,,,,,,,,,,2067.8402248,2067.840282699999,2067.9505348000002,2067.961215899999,2067.961215899999,2067.961215899999,2068.8528243,2073.9198213,j,1,5.945383100000981,None,direct,20,[],0,shifteddirectgaze.png,j,1,1,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
4.5,ecc10pos,left,1,0,1,f,0,3.0245323999988614,None,0,0,0,0,1,0,1,0,2074.019704299999,,,,,,,,,,,,,,,2074.0091992999987,2074.019704299999,2074.019704299999,2074.019704299999,2074.9195026999987,2077.0531106,f,0,3.0245323999988614,None,direct,19,[19],1,shifteddirectgaze.png,f,0,1,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
4.5,ecc10pos,left,2,0,2,j,0,4.2604917000007845,None,0,0,0,0,2,0,2,0,2077.1581184999995,,,,,,,,,,,,,,,2077.1466533000003,2077.1581184999995,2077.1581184999995,2077.1581184999995,2078.0527636999996,2081.420153699999,j,0,4.2604917000007845,None,right,20,[19],1,shiftedgaze_R_20.png,j,0,1,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
4.5,ecc10pos,left,3,0,3,j,0,3.05894889999945,None,0,0,0,0,3,0,3,0,2081.5197346999994,,,,,,,,,,,,,,,2081.5094613,2081.5197346999994,2081.5197346999994,2081.5197346999994,2082.419284899999,2084.586416599999,j,0,3.05894889999945,None,right,20,[19],1,shiftedgaze_R_20.png,j,0,1,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
4.5,ecc10pos,left,4,0,4,j,0,3.359914500000741,None,0,0,0,0,4,0,4,0,2084.6841914999986,,,,,,,,,,,,,,,2084.673478499999,2084.6841914999986,2084.6841914999986,2084.6841914999986,2085.5858143999994,2088.053074399999,j,0,3.359914500000741,None,right,20,[19],1,shiftedgaze_R_20.png,j,0,1,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
4.5,ecc10pos,left,5,0,5,j,0,4.339023000000452,None,0,0,0,0,5,0,5,0,2088.151587999999,,,,,,,,,,,,,,,2088.140887399999,2088.151587999999,2088.151587999999,2088.151587999999,2089.052517,2092.5029145999997,j,0,4.339023000000452,None,right,20,[19],1,shiftedgaze_R_20.png,j,0,1,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
4.5,ecc10pos,left,6,0,6,f,0,3.7853197000004,None,0,0,0,0,6,0,6,0,2092.6018169,,,,,,,,,,,,,,,2092.5917677999987,2092.6018169,2092.6018169,2092.6018169,2093.5032357,2096.4041113000003,f,0,3.7853197000004,None,direct,20,[19],1,shifteddirectgaze.png,f,0,1,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
4.5,ecc10pos,left,7,0,7,j,1,3.52464449999934,None,0,0,0,0,7,0,7,0,2096.5194302,,,,,,,,,,,,,,,2096.5062823999997,2096.5194302,2096.5194302,2096.5194302,2097.419411699999,2100.0528557,j,1,3.52464449999934,None,direct,20,"[19, 20]",2,shifteddirectgaze.png,j,1,1,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
4.5,ecc10pos,left,8,0,8,f,1,3.479999700000917,None,0,0,0,0,8,0,8,0,2100.1705702,,,,,,,,,,,,,,,2100.1606357,2100.1705702,2100.1705702,2100.1705702,2101.0523792000004,2103.652797999999,f,1,3.479999700000917,None,right,19,"[19, 20]",2,shiftedgaze_R_19.png,f,1,1,results30,001,2026-04-20_13h24.47.330,mogelijke versie adaptive staircase builder,,2026.1.3,60.03244153120417,2026-04-20 13h24.47.585592 +0200,
