xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.04883200000040233,0.05649479999920004,0.05649479999920004,0.05649479999920004,0.05649479999920004,0.05649479999920004,1433.0891735999976,space,1432.9025889000004,0.12792669999907957,,,,,,,,,,,,,,,,,,,,,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
4.5,ecc10pos,left,0,0,0,f,0,24.162970600002154,None,0,0,0,0,0,0,0,0,1433.411969599998,,,,,,,,,,,,,1433.2983318999977,1433.2983819999972,1433.401581099999,1433.411969599998,1433.411969599998,1433.411969599998,1434.3053532999984,1457.5888189999969,f,0,24.162970600002154,None,direct,20,[],0,shifteddirectgaze.png,f,0,1,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
4.5,ecc10pos,left,1,0,1,j,0,49.55362010000317,None,0,0,0,0,1,0,1,0,1457.6854036999976,,,,,,,,,,,,,,,1457.6738339000003,1457.6854036999976,1457.6854036999976,1457.6854036999976,1458.5882528000002,1507.2548414999983,j,0,49.55362010000317,None,right,20,[],0,shiftedgaze_R_20.png,j,0,1,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
4.5,ecc10pos,left,2,0,2,j,0,6.595433399998001,None,0,0,0,0,2,0,2,0,1507.379544299998,,,,,,,,,,,,,,,1507.3680118999982,1507.379544299998,1507.379544299998,1507.379544299998,1508.2543479999986,1513.9881236999972,j,0,6.595433399998001,None,left,20,[],0,shiftedgaze_L_20.png,j,0,1,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
4.5,ecc10pos,left,3,0,3,f,1,4.318203800001356,None,0,0,0,0,3,0,3,0,1514.104852499997,,,,,,,,,,,,,,,1514.0940267999977,1514.104852499997,1514.104852499997,1514.104852499997,1514.9876315000001,1518.4382334999973,f,1,4.318203800001356,None,right,20,[20],1,shiftedgaze_R_20.png,f,1,1,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
4.5,ecc10pos,left,4,0,4,f,1,8.461846800000785,None,0,0,0,0,4,0,4,0,1518.5611575000003,,,,,,,,,,,,,,,1518.5500398000004,1518.5611575000003,1518.5611575000003,1518.5611575000003,1519.4376542999998,1527.0378060000003,f,1,8.461846800000785,None,left,19,[20],1,shiftedgaze_L_19.png,f,1,1,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
4.5,ecc10pos,left,5,0,5,j,0,5.41224389999843,None,0,0,0,0,5,0,5,0,1527.1548369999982,,,,,,,,,,,,,,,1527.1435853999974,1527.1548369999982,1527.1548369999982,1527.1548369999982,1528.0372930999984,1532.5712036000004,j,0,5.41224389999843,None,right,18,"[20, 18]",2,shiftedgaze_R_18.png,j,0,1,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
4.5,ecc10pos,left,6,0,6,f,1,9.653325700001005,None,0,0,0,0,6,0,6,0,1532.6818557999977,,,,,,,,,,,,,,,1532.6708956000002,1532.6818557999977,1532.6818557999977,1532.6818557999977,1533.5708209000004,1542.3378735999977,f,1,9.653325700001005,None,right,19,"[20, 18, 19]",3,shiftedgaze_R_19.png,f,1,1,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
4.5,ecc10pos,left,7,0,7,f,1,3.2873073000009754,None,0,0,0,0,7,0,7,0,1542.4638522999994,,,,,,,,,,,,,,,1542.4523956999983,1542.4638522999994,1542.4638522999994,1542.4638522999994,1543.3372158999991,1545.7541963999975,f,1,3.2873073000009754,None,left,18,"[20, 18, 19]",3,shiftedgaze_L_18.png,f,1,1,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
4.5,ecc10pos,left,8,0,8,j,1,4.232613399999536,None,0,0,0,0,8,0,8,0,1545.8704838999984,,,,,,,,,,,,,,,1545.8589477999994,1545.8704838999984,1545.8704838999984,1545.8704838999984,1546.7538779999995,1550.1043020999969,j,1,4.232613399999536,None,direct,17,"[20, 18, 19]",3,shifteddirectgaze.png,j,1,1,results32,001,2026-04-20_14h36.39.423,mogelijke versie adaptive staircase builder,,2026.1.3,60.051259755465466,2026-04-20 14h36.39.812482 +0200,
