xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.050623999999515945,0.05754720000004454,0.05754720000004454,0.05754720000004454,0.05754720000004454,0.05754720000004454,863.5338463999997,space,863.379858100001,0.09605430000010529,,,,,,,,,,,,,,,,,,,,,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
4.5,ecc10pos,left,0,0,0,f,0,2.617619000000559,None,0,0,0,0,0,0,0,0,863.8837117999992,,,,,,,,,,,,,863.7600024000003,863.7600614000003,863.8733797000004,863.8837117999992,863.8837117999992,863.8837117999992,864.7667053000005,866.5170663999997,f,0,2.617619000000559,None,direct,20,[],0,shifteddirectgaze.png,f,0,1,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
4.5,ecc10pos,left,1,0,1,j,0,2.7501442000011593,None,0,0,0,0,1,0,1,0,866.623585899999,,,,,,,,,,,,,,,866.6127371000002,866.623585899999,866.623585899999,866.623585899999,867.5167478999992,869.3836343999992,j,0,2.7501442000011593,None,right,20,[],0,shiftedgaze_R_20.png,j,0,1,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
4.5,ecc10pos,left,2,0,2,j,1,2.657471999998961,None,0,0,0,0,2,0,2,0,869.4838951000002,,,,,,,,,,,,,,,869.4726350000001,869.4838951000002,869.4838951000002,869.4838951000002,870.383345799999,872.1503209999992,j,1,2.657471999998961,None,direct,20,[20],1,shifteddirectgaze.png,j,1,1,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
4.5,ecc10pos,left,3,0,3,f,1,2.815021100001104,None,0,0,0,0,3,0,3,0,872.2862898999992,,,,,,,,,,,,,,,872.274597399999,872.2862898999992,872.2862898999992,872.2862898999992,873.1497113000005,875.1167884999995,f,1,2.815021100001104,None,left,19,[20],1,shiftedgaze_L_19.png,f,1,1,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
4.5,ecc10pos,left,4,0,4,f,1,2.4021568999996816,None,0,0,0,0,4,0,4,0,875.2431775999994,,,,,,,,,,,,,,,875.2325799999999,875.2431775999994,875.2431775999994,875.2431775999994,876.1165025999999,877.6501673000002,f,1,2.4021568999996816,None,right,18,[20],1,shiftedgaze_R_18.png,f,1,1,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
4.5,ecc10pos,left,5,0,5,f,0,2.82554749999872,None,0,0,0,0,5,0,5,0,877.7478520000004,,,,,,,,,,,,,,,877.7371647999989,877.7478520000004,877.7478520000004,877.7478520000004,878.6495536999992,880.5835743999996,f,0,2.82554749999872,None,direct,17,"[20, 17]",2,shifteddirectgaze.png,f,0,1,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
4.5,ecc10pos,left,6,0,6,f,0,4.293412299999545,None,0,0,0,0,6,0,6,0,880.6879484000001,,,,,,,,,,,,,,,880.6766222000006,880.6879484000001,880.6879484000001,880.6879484000001,881.5830996999994,884.9832989000006,f,0,4.293412299999545,None,direct,18,"[20, 17]",2,shifteddirectgaze.png,f,0,1,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
4.5,ecc10pos,left,7,0,7,f,1,3.1375260000004346,None,0,0,0,0,7,0,7,0,885.1078156999993,,,,,,,,,,,,,,,885.0965106999993,885.1078156999993,885.1078156999993,885.1078156999993,885.9827119999991,888.2500354000003,f,1,3.1375260000004346,None,left,19,"[20, 17, 19]",3,shiftedgaze_L_19.png,f,1,1,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
4.5,ecc10pos,left,8,0,8,f,1,3.3710011999992275,None,0,0,0,0,8,0,8,0,888.3625094999989,,,,,,,,,,,,,,,888.3513010000006,888.3625094999989,888.3625094999989,888.3625094999989,889.2494246999995,891.7497872999993,f,1,3.3710011999992275,None,left,18,"[20, 17, 19]",3,shiftedgaze_L_18.png,f,1,1,results28,001,2026-04-20_12h41.18.726,mogelijke versie adaptive staircase builder,,2026.1.3,60.079906275732384,2026-04-20 12h41.19.130147 +0200,
