xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.003665400000045338,0.006358699999964301,0.006358699999964301,0.006358699999964301,0.006358699999964301,0.006358699999964301,828.4612979999997,space,828.3180806000005,0.13575639999999112,,,,,,,,,,,,,,,,,,,,,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
4.5,ecc10pos,left,0,0,0,f,1,4.2213016000005155,None,0,0,0,0,0,0,0,0,828.7987509,,,,,,,,,,,,,828.6805675999999,828.6806339,828.7947931000003,828.7987509,828.7987509,828.7987509,829.6942527999995,833.0276601,f,1,4.2213016000005155,None,left,20,[],0,shiftedgaze_L_20.png,f,1,1,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
4.5,ecc10pos,left,1,0,1,f,1,3.5548327000005884,None,0,0,0,0,1,0,1,0,833.1933075000002,,,,,,,,,,,,,,,833.1858189,833.1933075000002,833.1933075000002,833.1933075000002,834.0279095000001,836.7613168000003,f,1,3.5548327000005884,None,right,19,[],0,shiftedgaze_R_19.png,f,1,1,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
4.5,ecc10pos,left,2,0,2,j,0,9.1719764999998,None,0,0,0,0,2,0,2,0,836.8959940999998,,,,,,,,,,,,,,,836.8864989999997,836.8959940999998,836.8959940999998,836.8959940999998,837.7607334999998,846.0777640000001,j,0,9.1719764999998,None,left,18,[18],1,shiftedgaze_L_18.png,j,0,1,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
4.5,ecc10pos,left,3,0,3,j,1,3.6101893000004566,None,0,0,0,0,3,0,3,0,846.1777342,,,,,,,,,,,,,,,846.1679528999998,846.1777342,846.1777342,846.1777342,847.0774059,849.7942410999999,j,1,3.6101893000004566,None,direct,19,"[18, 19]",2,shifteddirectgaze.png,j,1,1,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
4.5,ecc10pos,left,4,0,4,j,0,5.856494499999826,None,0,0,0,0,4,0,4,0,849.8836318999997,,,,,,,,,,,,,,,849.8791284000004,849.8836318999997,849.8836318999997,849.8836318999997,850.7941321000003,855.7444339999997,j,0,5.856494499999826,None,right,18,"[18, 19, 18]",3,shiftedgaze_R_18.png,j,0,1,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
4.5,ecc10pos,left,5,0,5,j,1,2.671897100000024,None,0,0,0,0,5,0,5,0,855.8284482000004,,,,,,,,,,,,,,,855.8243182000001,855.8284482000004,855.8284482000004,855.8284482000004,856.7441203000003,858.5114430999997,j,1,2.671897100000024,None,direct,19,"[18, 19, 18, 19]",4,shifteddirectgaze.png,j,1,1,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
4.5,ecc10pos,left,6,0,6,f,1,3.7606743000005736,None,0,0,0,0,6,0,6,0,858.5956056,,,,,,,,,,,,,,,858.5914486999995,858.5956056,858.5956056,858.5956056,859.5274277000003,862.3609631000004,f,1,3.7606743000005736,None,right,18,"[18, 19, 18, 19]",4,shiftedgaze_R_18.png,f,1,1,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
4.5,ecc10pos,left,7,0,7,f,1,6.921902999999475,None,0,0,0,0,7,0,7,0,862.4506033000002,,,,,,,,,,,,,,,862.4463234,862.4506033000002,862.4506033000002,862.4506033000002,863.3612066000001,869.3779541999997,f,1,6.921902999999475,None,right,17,"[18, 19, 18, 19]",4,shiftedgaze_R_17.png,f,1,1,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
4.5,ecc10pos,left,8,0,8,j,1,3.620864299999994,None,0,0,0,0,8,0,8,0,869.4631507999998,,,,,,,,,,,,,,,869.4586951999995,869.4631507999998,869.4631507999998,869.4631507999998,870.3778469000003,873.0942695999997,j,1,3.620864299999994,None,direct,16,"[18, 19, 18, 19]",4,shifteddirectgaze.png,j,1,1,results12,001,2026-04-14_10h49.12.977,mogelijke versie adaptive staircase builder,,2026.1.3,59.97864760148051,2026-04-14 10h49.13.259960 +0200,
