xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.0033418000020901673,0.006150500001240289,0.006150500001240289,0.006150500001240289,0.006150500001240289,0.006150500001240289,205.37193939999997,space,205.2201617000028,0.14407789999677334,,,,,,,,,,,,,,,,,,,,,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,0,0,0,j,0,4.284646899999643,None,0,0,0,0,0,0,0,0,205.66961490000176,,,,,,,,,,,,,205.5674308000016,205.56748510000034,205.66671100000167,205.66961490000176,205.66961490000176,205.66961490000176,206.57168300000194,209.95457140000144,j,0,4.284646899999643,None,left,20,[],0,shiftedgaze_L_20.png,j,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,1,0,1,j,0,4.046202099998482,None,0,0,0,0,1,0,1,0,210.04424270000163,,,,,,,,,,,,,,,210.04025739999997,210.04424270000163,210.04424270000163,210.04424270000163,210.95459950000077,214.10524179999993,j,0,4.046202099998482,None,left,20,[],0,shiftedgaze_L_20.png,j,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,2,0,2,f,1,4.258301199999551,None,0,0,0,0,2,0,2,0,214.2479346,,,,,,,,,,,,,,,214.2451417000011,214.2479346,214.2479346,214.2479346,215.10499270000219,218.5215356000008,f,1,4.258301199999551,None,right,20,[20],1,shiftedgaze_R_20.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,3,0,3,f,0,2.843972599999688,None,0,0,0,0,3,0,3,0,218.60635000000184,,,,,,,,,,,,,,,218.60236040000018,218.60635000000184,218.60635000000184,218.60635000000184,219.52147790000163,221.4551023999993,f,0,2.843972599999688,None,direct,19,"[20, 19]",2,shifteddirectgaze.png,f,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,4,0,4,j,0,3.481237100000726,None,0,0,0,0,4,0,4,0,221.55317769999965,,,,,,,,,,,,,,,221.54312690000006,221.55317769999965,221.55317769999965,221.55317769999965,222.454520700001,225.03842359999908,j,0,3.481237100000726,None,left,20,"[20, 19]",2,shiftedgaze_L_20.png,j,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,5,0,5,f,1,5.283029400001396,None,0,0,0,0,5,0,5,0,225.12714760000017,,,,,,,,,,,,,,,225.1230710000018,225.12714760000017,225.12714760000017,225.12714760000017,226.03840560000026,230.4214460000003,f,1,5.283029400001396,None,left,20,"[20, 19, 20]",3,shiftedgaze_L_20.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,6,0,6,j,0,5.2757574999995995,None,0,0,0,0,6,0,6,0,230.51844320000237,,,,,,,,,,,,,,,230.51424889999907,230.51844320000237,230.51844320000237,230.51844320000237,231.421268099999,235.80482300000222,j,0,5.2757574999995995,None,left,19,"[20, 19, 20, 19]",4,shiftedgaze_L_19.png,j,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,7,0,7,f,1,3.2855846999991627,None,0,0,0,0,7,0,7,0,235.90118150000126,,,,,,,,,,,,,,,235.89137390000178,235.90118150000126,235.90118150000126,235.90118150000126,236.8046347999989,239.1887033999992,f,1,3.2855846999991627,None,right,20,"[20, 19, 20, 19, 20]",5,shiftedgaze_R_20.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,8,0,8,j,0,3.416754599998967,None,0,0,0,0,8,0,8,0,239.28958350000175,,,,,,,,,,,,,,,239.27974929999982,239.28958350000175,239.28958350000175,239.28958350000175,240.18798640000023,242.72194669999953,j,0,3.416754599998967,None,left,19,"[20, 19, 20, 19, 20, 19]",6,shiftedgaze_L_19.png,j,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,9,0,9,f,1,5.063407499997993,None,0,0,0,0,9,0,9,0,242.8108342000014,,,,,,,,,,,,,,,242.80672880000202,242.8108342000014,242.8108342000014,242.8108342000014,243.72157460000017,247.88820779999878,f,1,5.063407499997993,None,left,20,"[20, 19, 20, 19, 20, 19, 20]",7,shiftedgaze_L_20.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,10,0,10,j,1,3.530524999998306,None,0,0,0,0,10,0,10,0,247.98365660000127,,,,,,,,,,,,,,,247.97378369999933,247.98365660000127,247.98365660000127,247.98365660000127,248.88788000000204,251.52145060000112,j,1,3.530524999998306,None,direct,19,"[20, 19, 20, 19, 20, 19, 20]",7,shifteddirectgaze.png,j,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,11,0,11,f,1,15.21116720000282,None,0,0,0,0,11,0,11,0,251.63902130000133,,,,,,,,,,,,,,,251.6295949000014,251.63902130000133,251.63902130000133,251.63902130000133,252.5212954999988,266.8548327999997,f,1,15.21116720000282,None,left,18,"[20, 19, 20, 19, 20, 19, 20]",7,shiftedgaze_L_18.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,12,0,12,j,0,2.7649110999991535,None,0,0,0,0,12,0,12,0,266.9571591999993,,,,,,,,,,,,,,,266.9473356000017,266.9571591999993,266.9571591999993,266.9571591999993,267.8546363000023,269.73813209999935,j,0,2.7649110999991535,None,right,17,"[20, 19, 20, 19, 20, 19, 20, 17]",8,shiftedgaze_R_17.png,j,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,13,0,13,f,1,2.4704490000003716,None,0,0,0,0,13,0,13,0,269.82790690000184,,,,,,,,,,,,,,,269.82391669999924,269.82790690000184,269.82790690000184,269.82790690000184,270.7379542999988,272.30471070000203,f,1,2.4704490000003716,None,right,18,"[20, 19, 20, 19, 20, 19, 20, 17, 18]",9,shiftedgaze_R_18.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,14,0,14,f,1,2.909317800000281,None,0,0,0,0,14,0,14,0,272.38874040000155,,,,,,,,,,,,,,,272.38447760000054,272.38874040000155,272.38874040000155,272.38874040000155,273.30511789999946,275.3048062000016,f,1,2.909317800000281,None,right,17,"[20, 19, 20, 19, 20, 19, 20, 17, 18]",9,shiftedgaze_R_17.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,15,0,15,f,1,2.877409600001556,None,0,0,0,0,15,0,15,0,275.41275529999984,,,,,,,,,,,,,,,275.4034423000012,275.41275529999984,275.41275529999984,275.41275529999984,276.30480330000137,278.30549370000153,f,1,2.877409600001556,None,left,16,"[20, 19, 20, 19, 20, 19, 20, 17, 18]",9,shiftedgaze_L_16.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,16,0,16,j,0,2.889306500001112,None,0,0,0,0,16,0,16,0,278.40878090000115,,,,,,,,,,,,,,,278.39810959999886,278.40878090000115,278.40878090000115,278.40878090000115,279.3212534000013,281.30496539999876,j,0,2.889306500001112,None,right,15,"[20, 19, 20, 19, 20, 19, 20, 17, 18, 15]",10,shiftedgaze_R_15.png,j,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,17,0,17,f,0,2.33692720000181,None,0,0,0,0,17,0,17,0,281.3932458999989,,,,,,,,,,,,,,,281.38926229999925,281.3932458999989,281.3932458999989,281.3932458999989,282.30449299999964,283.7387705000001,f,0,2.33692720000181,None,direct,16,"[20, 19, 20, 19, 20, 19, 20, 17, 18, 15]",10,shifteddirectgaze.png,f,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,18,0,18,j,0,2.997535300000891,None,0,0,0,0,18,0,18,0,283.84463139999934,,,,,,,,,,,,,,,283.8351694000012,283.84463139999934,283.84463139999934,283.84463139999934,284.73815970000214,286.8548570000021,j,0,2.997535300000891,None,left,17,"[20, 19, 20, 19, 20, 19, 20, 17, 18, 15]",10,shiftedgaze_L_17.png,j,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,19,0,19,f,0,3.156197099997371,None,0,0,0,0,19,0,19,0,286.95018600000185,,,,,,,,,,,,,,,286.94064920000164,286.95018600000185,286.95018600000185,286.95018600000185,287.8546357000014,290.1217027999992,f,0,3.156197099997371,None,direct,18,"[20, 19, 20, 19, 20, 19, 20, 17, 18, 15]",10,shifteddirectgaze.png,f,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,20,0,20,f,1,4.11933389999831,None,0,0,0,0,20,0,20,0,290.2190425000008,,,,,,,,,,,,,,,290.20943289999923,290.2190425000008,290.2190425000008,290.2190425000008,291.12126999999964,294.33875460000127,f,1,4.11933389999831,None,left,19,"[20, 19, 20, 19, 20, 19, 20, 17, 18, 15, 19]",11,shiftedgaze_L_19.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,21,0,21,j,1,2.7209043000002566,None,0,0,0,0,21,0,21,0,294.4333535000005,,,,,,,,,,,,,,,294.422503400001,294.4333535000005,294.4333535000005,294.4333535000005,295.3381330000011,297.1546178999997,j,1,2.7209043000002566,None,direct,18,"[20, 19, 20, 19, 20, 19, 20, 17, 18, 15, 19]",11,shifteddirectgaze.png,j,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,22,0,22,f,1,2.7023442999998224,None,0,0,0,0,22,0,22,0,297.26021330000003,,,,,,,,,,,,,,,297.2509073000001,297.26021330000003,297.26021330000003,297.26021330000003,298.1550399000007,299.9717407999997,f,1,2.7023442999998224,None,left,17,"[20, 19, 20, 19, 20, 19, 20, 17, 18, 15, 19]",11,shiftedgaze_L_17.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,23,0,23,f,1,2.8180973999988055,None,0,0,0,0,23,0,23,0,300.0805435000002,,,,,,,,,,,,,,,300.0706704000004,300.0805435000002,300.0805435000002,300.0805435000002,300.98836270000174,302.9052770999988,f,1,2.8180973999988055,None,right,16,"[20, 19, 20, 19, 20, 19, 20, 17, 18, 15, 19]",11,shiftedgaze_R_16.png,f,1,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
4.5,ecc10pos,left,24,0,24,j,0,2.3211670000018785,None,0,0,0,0,24,0,24,0,303.01699740000186,,,,,,,,,,,,,,,303.0075943000011,303.01699740000186,303.01699740000186,303.01699740000186,303.90506789999927,305.3383455000003,j,0,2.3211670000018785,None,left,15,"[20, 19, 20, 19, 20, 19, 20, 17, 18, 15, 19, 15]",12,shiftedgaze_L_15.png,j,0,1,results20,001,2026-04-14_14h42.49.253,mogelijke versie adaptive staircase builder,,2026.1.3,60.04112817317942,2026-04-14 14h42.49.509227 +0200,
