xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,False,0.0524632,0.0622411,0.0622411,0.0622411,0.0622411,0.0622411,11.3501085,space,11.1382188,0.1440089,,,,,,,,,,,,,,,,,,,,,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
4.5,ecc10pos,left,0,0,0,j,0,11.36653,None,0,0,0,0,0,0,0,0,11.6340413,,,,,,,,,,,,,11.5212868,11.5213343,11.6244612,11.6340413,11.6340413,11.6340413,12.5331176,23.0165897,j,0,11.36653,None,right,20,[],0,shiftedgaze_R_20.png,j,0,1,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
4.5,ecc10pos,left,1,0,1,f,0,2.6019856,None,0,0,0,0,1,0,1,0,23.1104656,,,,,,,,,,,,,,,23.0988991,23.1104656,23.1104656,23.1104656,24.0161752,25.7164076,f,0,2.6019856,None,direct,20,[],0,shifteddirectgaze.png,f,0,1,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
4.5,ecc10pos,left,2,0,2,f,1,5.5520894,None,0,0,0,0,2,0,2,0,25.8083857,,,,,,,,,,,,,,,25.7980173,25.8083857,25.8083857,25.8083857,26.7161083,31.3665,f,1,5.5520894,None,right,20,[20],1,shiftedgaze_R_20.png,f,1,1,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
4.5,ecc10pos,left,3,0,3,j,1,2.7470636,None,0,0,0,0,3,0,3,0,31.461483,,,,,,,,,,,,,,,31.4499801,31.461483,31.461483,31.461483,32.3661718,34.2164279,j,1,2.7470636,None,direct,19,[20],1,shifteddirectgaze.png,j,1,1,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
4.5,ecc10pos,left,4,0,4,f,1,7.8662637,None,0,0,0,0,4,0,4,0,34.342208,,,,,,,,,,,,,,,34.3302058,34.342208,34.342208,34.342208,35.2161391,42.2163545,f,1,7.8662637,None,left,18,[20],1,shiftedgaze_L_18.png,f,1,1,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
4.5,ecc10pos,left,5,0,5,j,0,3.343354,None,0,0,0,0,5,0,5,0,42.3371353,,,,,,,,,,,,,,,42.3254106,42.3371353,42.3371353,42.3371353,43.2160631,45.6828588,j,0,3.343354,None,right,17,"[20, 17]",2,shiftedgaze_R_17.png,j,0,1,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
4.5,ecc10pos,left,6,0,6,j,1,2.0417701,None,0,0,0,0,6,0,6,0,45.7747472,,,,,,,,,,,,,,,45.76398,45.7747472,45.7747472,45.7747472,46.6826588,47.8328427,j,1,2.0417701,None,direct,18,"[20, 17, 18]",3,shifteddirectgaze.png,j,1,1,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
4.5,ecc10pos,left,7,0,7,f,1,3.3466041,None,0,0,0,0,7,0,7,0,47.9267312,,,,,,,,,,,,,,,47.9155833,47.9267312,47.9267312,47.9267312,48.8326514,51.2829209,f,1,3.3466041,None,right,17,"[20, 17, 18]",3,shiftedgaze_R_17.png,f,1,1,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
4.5,ecc10pos,left,8,0,8,j,1,2.8103673,None,0,0,0,0,8,0,8,0,51.3742447,,,,,,,,,,,,,,,51.3634919,51.3742447,51.3742447,51.3742447,52.2825335,54.1995692,j,1,2.8103673,None,direct,16,"[20, 17, 18]",3,shifteddirectgaze.png,j,1,1,results33,1,2026-04-20_15h29.21.872,mogelijke versie adaptive staircase builder,,2026.1.3,59.98325268,2026-04-20 15h29.22.227789 +0200
