xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.0033667999996396247,0.0061707999993814155,0.0061707999993814155,0.0061707999993814155,0.0061707999993814155,0.0061707999993814155,369.3003523999996,space,369.1108671999991,0.1764448000012635,,,,,,,,,,,,,,,,,,,,,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
4.5,ecc10pos,left,0,0,0,f,0,5.2177711999993335,None,0,0,0,0,0,0,0,0,369.62772869999935,,,,,,,,,,,,,369.51189349999913,369.51195200000075,369.6210394000009,369.62772869999935,369.62772869999935,369.62772869999935,370.51624269999957,374.85003680000045,f,0,5.2177711999993335,None,direct,20,[],0,shifteddirectgaze.png,f,0,1,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
4.5,ecc10pos,left,1,0,1,j,1,5.024155699999028,None,0,0,0,0,1,0,1,0,374.9410263000009,,,,,,,,,,,,,,,374.9368350000004,374.9410263000009,374.9410263000009,374.9410263000009,375.8499668000004,379.9663435000002,j,1,5.024155699999028,None,direct,20,[20],1,shifteddirectgaze.png,j,1,1,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
4.5,ecc10pos,left,2,0,2,f,0,5.438859699999739,None,0,0,0,0,2,0,2,0,380.05420070000037,,,,,,,,,,,,,,,380.0502732999994,380.05420070000037,380.05420070000037,380.05420070000037,380.9660328000009,385.4996074999999,f,0,5.438859699999739,None,direct,19,"[20, 19]",2,shifteddirectgaze.png,f,0,1,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
4.5,ecc10pos,left,3,0,3,j,0,3.462533500000063,None,0,0,0,0,3,0,3,0,385.59862260000045,,,,,,,,,,,,,,,385.5947092999995,385.59862260000045,385.59862260000045,385.59862260000045,386.4994551,389.06631969999944,j,0,3.462533500000063,None,right,20,"[20, 19]",2,shiftedgaze_R_20.png,j,0,1,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
4.5,ecc10pos,left,4,0,4,j,1,4.666767900000195,None,0,0,0,0,4,0,4,0,389.1544083000008,,,,,,,,,,,,,,,389.15022769999996,389.1544083000008,389.1544083000008,389.1544083000008,390.0661682000009,393.83295949999956,j,1,4.666767900000195,None,direct,20,"[20, 19, 20]",3,shifteddirectgaze.png,j,1,1,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
4.5,ecc10pos,left,5,0,5,j,0,6.038459599998532,None,0,0,0,0,5,0,5,0,393.99070140000003,,,,,,,,,,,,,,,393.9855927000008,393.99070140000003,393.99070140000003,393.99070140000003,394.8328631000004,400.03283569999985,j,0,6.038459599998532,None,right,19,"[20, 19, 20, 19]",4,shiftedgaze_R_19.png,j,0,1,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
4.5,ecc10pos,left,6,0,6,f,1,4.0274534999989555,None,0,0,0,0,6,0,6,0,400.16170240000065,,,,,,,,,,,,,,,400.1523412000006,400.16170240000065,400.16170240000065,400.16170240000065,401.03262130000076,404.20075539999925,f,1,4.0274534999989555,None,left,20,"[20, 19, 20, 19, 20]",5,shiftedgaze_L_20.png,f,1,1,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
4.5,ecc10pos,left,7,0,7,j,0,2.2439324999995733,None,0,0,0,0,7,0,7,0,404.3052196000008,,,,,,,,,,,,,,,404.3011664000005,404.3052196000008,404.3052196000008,404.3052196000008,405.21610150000015,406.54957099999956,j,0,2.2439324999995733,None,left,19,"[20, 19, 20, 19, 20, 19]",6,shiftedgaze_L_19.png,j,0,1,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
4.5,ecc10pos,left,8,0,8,j,0,5.59446410000055,None,0,0,0,0,8,0,8,0,406.6431126000007,,,,,,,,,,,,,,,406.63896960000056,406.6431126000007,406.6431126000007,406.6431126000007,407.54937450000034,412.25008759999946,j,0,5.59446410000055,None,left,20,"[20, 19, 20, 19, 20, 19]",6,shiftedgaze_L_20.png,j,0,1,results15,001,2026-04-14_12h30.48.896,mogelijke versie adaptive staircase builder,,2026.1.3,60.04740141895502,2026-04-14 12h30.49.180699 +0200,
