xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.04881139999997686,0.05696379999972123,0.05696379999972123,0.05696379999972123,0.05696379999972123,0.05696379999972123,290.08113109999977,space,289.91217660000075,0.10396009999931266,,,,,,,,,,,,,,,,,,,,,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
4.5,ecc10pos,left,0,0,0,f,1,3.9404523000011977,None,0,0,0,0,0,0,0,0,290.4126919999999,,,,,,,,,,,,,290.29510090000076,290.2951534999993,290.40076860000045,290.4126919999999,290.4126919999999,290.4126919999999,291.2973684000008,294.36444800000027,f,1,3.9404523000011977,None,right,20,[],0,shiftedgaze_R_20.png,f,1,1,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
4.5,ecc10pos,left,1,0,1,f,0,2.8115190000007715,None,0,0,0,0,1,0,1,0,294.46160640000016,,,,,,,,,,,,,,,294.4502511999999,294.46160640000016,294.46160640000016,294.46160640000016,295.3638658,297.28113289999965,f,0,2.8115190000007715,None,direct,19,[19],1,shifteddirectgaze.png,f,0,1,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
4.5,ecc10pos,left,2,0,2,f,1,1.9225580999991507,None,0,0,0,0,2,0,2,0,297.3746912000006,,,,,,,,,,,,,,,297.3641473000007,297.3746912000006,297.3746912000006,297.3746912000006,298.28061549999984,299.29779150000104,f,1,1.9225580999991507,None,right,20,"[19, 20]",2,shiftedgaze_R_20.png,f,1,1,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
4.5,ecc10pos,left,3,0,3,f,1,2.4606198000001314,None,0,0,0,0,3,0,3,0,299.4284969,,,,,,,,,,,,,,,299.416957200001,299.4284969,299.4284969,299.4284969,300.2972093999997,301.8976351000001,f,1,2.4606198000001314,None,left,19,"[19, 20]",2,shiftedgaze_L_19.png,f,1,1,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
4.5,ecc10pos,left,4,0,4,f,1,4.836289799999577,None,0,0,0,0,4,0,4,0,302.02075400000103,,,,,,,,,,,,,,,302.0094363999997,302.02075400000103,302.02075400000103,302.02075400000103,302.8971805000001,306.8641253000005,f,1,4.836289799999577,None,right,18,"[19, 20]",2,shiftedgaze_R_18.png,f,1,1,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
4.5,ecc10pos,left,5,0,5,f,0,3.928375399998913,None,0,0,0,0,5,0,5,0,306.96076449999964,,,,,,,,,,,,,,,306.95046770000044,306.96076449999964,306.96076449999964,306.96076449999964,307.8637385000002,310.89750529999947,f,0,3.928375399998913,None,direct,17,"[19, 20, 17]",3,shifteddirectgaze.png,f,0,1,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
4.5,ecc10pos,left,6,0,6,f,1,1.8866906999992352,None,0,0,0,0,6,0,6,0,310.99442740000086,,,,,,,,,,,,,,,310.984218900001,310.99442740000086,310.99442740000086,310.99442740000086,311.897081000001,312.897476600001,f,1,1.8866906999992352,None,right,18,"[19, 20, 17, 18]",4,shiftedgaze_R_18.png,f,1,1,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
4.5,ecc10pos,left,7,0,7,f,1,2.1897206000012375,None,0,0,0,0,7,0,7,0,313.02741530000094,,,,,,,,,,,,,,,313.0156217999993,313.02741530000094,313.02741530000094,313.02741530000094,313.89700000000084,315.230799500001,f,1,2.1897206000012375,None,left,17,"[19, 20, 17, 18]",4,shiftedgaze_L_17.png,f,1,1,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
4.5,ecc10pos,left,8,0,8,f,1,2.240476099999796,None,0,0,0,0,8,0,8,0,315.34455329999946,,,,,,,,,,,,,,,315.33103440000014,315.34455329999946,315.34455329999946,315.34455329999946,316.2303427000006,317.59770820000085,f,1,2.240476099999796,None,left,16,"[19, 20, 17, 18]",4,shiftedgaze_L_16.png,f,1,1,results29,001,2026-04-20_13h08.25.765,mogelijke versie adaptive staircase builder,,2026.1.3,60.059338626549774,2026-04-20 13h08.26.147163 +0200,
