xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.00335099999938393,0.006029500000295229,0.006029500000295229,0.006029500000295229,0.006029500000295229,0.006029500000295229,1283.9592175999987,space,1283.8334978000003,0.11199579999993148,,,,,,,,,,,,,,,,,,,,,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
4.5,ecc10pos,left,0,0,0,j,0,3.367258700000093,None,0,0,0,0,0,0,0,0,1284.2478824999998,,,,,,,,,,,,,1284.1316936000003,1284.1317457999994,1284.2427369999987,1284.2478824999998,1284.2478824999998,1284.2478824999998,1285.1419616999992,1287.625421499999,j,0,3.367258700000093,None,right,20,[],0,shiftedgaze_R_20.png,j,0,1,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
4.5,ecc10pos,left,1,0,1,j,0,2.347523700000238,None,0,0,0,0,1,0,1,0,1287.8114675999987,,,,,,,,,,,,,,,1287.8033985999991,1287.8114675999987,1287.8114675999987,1287.8114675999987,1288.6251843999999,1290.175474399999,j,0,2.347523700000238,None,left,20,[],0,shiftedgaze_L_20.png,j,0,1,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
4.5,ecc10pos,left,2,0,2,f,1,2.655034199999136,None,0,0,0,0,2,0,2,0,1290.2804681999987,,,,,,,,,,,,,,,1290.2700616999991,1290.2804681999987,1290.2804681999987,1290.2804681999987,1291.1753083000003,1292.9425976000002,f,1,2.655034199999136,None,right,20,[20],1,shiftedgaze_R_20.png,f,1,1,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
4.5,ecc10pos,left,3,0,3,j,0,2.412898300000961,None,0,0,0,0,3,0,3,0,1293.0582181999998,,,,,,,,,,,,,,,1293.0488002000002,1293.0582181999998,1293.0582181999998,1293.0582181999998,1293.9586104999998,1295.4754214999994,j,0,2.412898300000961,None,right,19,"[20, 19]",2,shiftedgaze_R_19.png,j,0,1,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
4.5,ecc10pos,left,4,0,4,f,1,2.6946478000008938,None,0,0,0,0,4,0,4,0,1295.5923993999986,,,,,,,,,,,,,,,1295.5826091999988,1295.5923993999986,1295.5923993999986,1295.5923993999986,1296.475261399999,1298.2921196999996,f,1,2.6946478000008938,None,left,20,"[20, 19, 20]",3,shiftedgaze_L_20.png,f,1,1,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
4.5,ecc10pos,left,5,0,5,j,1,1.7856006000001798,None,0,0,0,0,5,0,5,0,1298.3975573999996,,,,,,,,,,,,,,,1298.3876998999986,1298.3975573999996,1298.3975573999996,1298.3975573999996,1299.2919294000003,1300.1922947999992,j,1,1.7856006000001798,None,direct,19,"[20, 19, 20]",3,shifteddirectgaze.png,j,1,1,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
4.5,ecc10pos,left,6,0,6,j,0,1.5228821000000607,None,0,0,0,0,6,0,6,0,1300.2922579999995,,,,,,,,,,,,,,,1300.2826949999999,1300.2922579999995,1300.2922579999995,1300.2922579999995,1301.1920460000001,1301.8254117999986,j,0,1.5228821000000607,None,left,18,"[20, 19, 20, 18]",4,shiftedgaze_L_18.png,j,0,1,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
4.5,ecc10pos,left,7,0,7,f,1,1.612035599999217,None,0,0,0,0,7,0,7,0,1301.9394954999989,,,,,,,,,,,,,,,1301.9290234,1301.9394954999989,1301.9394954999989,1301.9394954999989,1302.8252096999986,1303.5592875999992,f,1,1.612035599999217,None,right,19,"[20, 19, 20, 18, 19]",5,shiftedgaze_R_19.png,f,1,1,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
4.5,ecc10pos,left,8,0,8,f,1,1.767546199998833,None,0,0,0,0,8,0,8,0,1303.6639962999998,,,,,,,,,,,,,,,1303.6523510999996,1303.6639962999998,1303.6639962999998,1303.6639962999998,1304.5589206999994,1305.4428112999994,f,1,1.767546199998833,None,left,18,"[20, 19, 20, 18, 19]",5,shiftedgaze_L_18.png,f,1,1,results17,001,2026-04-14_13h25.56.182,mogelijke versie adaptive staircase builder,,2026.1.3,59.99340072586862,2026-04-14 13h25.56.472484 +0200,
